No,Layer,Name,Address,Description
OYU,Soto-yu · this week,Ōyu — arrival,"野沢温泉 大湯, 長野県下高井郡野沢温泉村",Village symbol. Hot and cooler tubs. Official winter 6:00–23:00. Tattoo OK (village practice). Bring soap and a towel. No number — not restaurant 01–11. https://nozawakanko.jp/hotspring/
KUMA,Soto-yu · this week,Kuma-no-tearai-yu — after ski,"野沢温泉 熊の手洗湯, 長野県下高井郡野沢温泉村",Official: the gentler one. Source ~40°C. Winter 6:00–23:00. After the hill, not another scald. No number. https://nozawakanko.jp/hotspring/
KAWA,Soto-yu · this week,Kawarayu — out morning,"野沢温泉 河原湯, 長野県下高井郡野沢温泉村",Official: hot; a morning soak. Just below Ōyu. Then the Chuo bus. Winter 6:00–23:00. No number. https://nozawakanko.jp/hotspring/
AKIHA,Soto-yu · other,Akiha-no-yu,"野沢温泉 秋葉の湯, 長野県下高井郡野沢温泉村",Toward the ski area — not Ōyu core. Official winter 6:00–23:00. [VERIFY] after 2026 rebuild (closed 11 May–30 Oct 2026). Not this week’s three. https://nozawakanko.jp/hotspring/
ASAGAMA,Soto-yu · other,Asagama-no-yu,"野沢温泉 麻釜の湯, 長野県下高井郡野沢温泉村",The bath, not Ogama. Official: Ogama source park is villagers only — do not pin Ogama. Winter 6:00–23:00. Not this week’s three. https://nozawakanko.jp/hotspring/
KAMITERA,Soto-yu · other,Kamitera-yu,"野沢温泉 上寺湯, 長野県下高井郡野沢温泉村",Small historic bath. Official winter 6:00–23:00. Not this week’s three. https://nozawakanko.jp/hotspring/
MATSUBA,Soto-yu · other,Matsuba-no-yu,"野沢温泉 松葉の湯, 長野県下高井郡野沢温泉村",Bath is upstairs; laundry on 1F. Official winter 6:00–23:00. Not this week’s three. https://nozawakanko.jp/hotspring/
NAKAO,Soto-yu · other,Nakao-no-yu,"野沢温泉 中尾の湯, 長野県下高井郡野沢温泉村",Largest soto-yu. South village entrance. Official winter 6:00–23:00. Not this week’s three. https://nozawakanko.jp/hotspring/
SHINDENYU,Soto-yu · other,Shinden-no-yu,"野沢温泉 新田の湯, 長野県下高井郡野沢温泉村",Newest soto-yu. Opposite Nishinomiya shrine / above Shinden BT. Official winter 6:00–23:00. Not this week’s three. Not Kongou (04). https://nozawakanko.jp/hotspring/
SHINYU,Soto-yu · other,Shin-yu,"野沢温泉 真湯, 長野県下高井郡野沢温泉村",Closes earlier than Ōyu. Official 6:00–22:00. North end, Tsutsujiyama Park entrance. Not this week’s three. Not Atarashiya (11). https://nozawakanko.jp/hotspring/
TAKI,Soto-yu · other,Taki-no-yu,"野沢温泉 滝の湯, 長野県下高井郡野沢温泉村",Village-guest only — not a day-trip soak. Confirm on the door. Closes earlier: Dec–Mar 6:00–22:00 (Apr–Nov 5:00–21:00). Not this week’s three. https://nozawakanko.jp/hotspring/
YOKOCHI,Soto-yu · other,Yokochi-no-yu,"野沢温泉 横落の湯, 長野県下高井郡野沢温泉村",Below Yokochi lights; basement / stone wall. Official 6:00–23:00. Not this week’s three. Not Winterland (05). https://nozawakanko.jp/hotspring/
JUODO,Soto-yu · other,Juodo-no-yu,"野沢温泉 十王堂の湯, 長野県下高井郡野沢温泉村",Women 1F / men 2F. Official 6:00–22:00. Not this week’s three. https://nozawakanko.jp/hotspring/
